start,Bass
-40.2740,148.1221
-40.2712,148.1135
-40.2656,148.1070
-40.2631,148.0944
-40.2623,148.0978
-40.2617,148.0982
-40.2607,148.0983
-40.2626,148.0943
-40.2651,148.0944
-40.2599,148.0820
-40.2553,148.0642
-40.2518,148.0629
-40.2486,148.0591
-40.2484,148.0598
-40.2492,148.0604
-40.2492,148.0610
-40.2477,148.0599
-40.2475,148.0503
-40.2495,148.0461
-40.2439,148.0419
-40.2374,148.0430
-40.2301,148.0403
-40.2271,148.0341
-40.2309,148.0297
-40.2258,148.0252
-40.2167,148.0321
-40.2144,148.0373
-40.2156,148.0403
