start,Denison
-42.8445,147.3150
-42.8444,147.3155
end
start,Franklin
-42.8465,147.3215
-42.8462,147.3227
-42.8464,147.3225
-42.8465,147.3215
end
start,Franklin
-42.8451,147.3260
-42.8449,147.3265
-42.8452,147.3266
-42.8454,147.3262
-42.8451,147.3260
end
start,Franklin
-42.8513,147.3226
-42.8551,147.3196
-42.8554,147.3198
-42.8553,147.3197
-42.8551,147.3196
-42.8551,147.3196
-42.8550,147.3196
-42.8546,147.3195
-42.8531,147.3202
-42.8513,147.3226
end
start,Franklin
-42.8703,147.3346
-42.8766,147.3408
-42.8772,147.3391
-42.8740,147.3353
-42.8703,147.3346
end
start,Franklin
-42.8770,147.3411
-42.8770,147.3411
-42.8775,147.3410
-42.8771,147.3409
-42.8770,147.3411
end
start,Franklin
-42.8825,147.3390
-42.8859,147.3377
-42.8849,147.3315
-42.8846,147.3346
-42.8836,147.3332
-42.8819,147.3353
-42.8825,147.3390
end
start,Franklin
-42.8941,147.3345
-42.8957,147.3339
-42.8956,147.3335
-42.8943,147.3338
-42.8941,147.3345
end
start,Franklin
-42.8961,147.3338
-42.8968,147.3335
-42.8968,147.3333
-42.8961,147.3332
-42.8961,147.3338
end
start,Franklin
-42.8972,147.3333
-42.8992,147.3326
-42.8987,147.3320
-42.8972,147.3333
end
start,Franklin
-42.8992,147.3326
-42.8993,147.3325
-42.8992,147.3325
-42.8992,147.3326
end
start,Franklin
-42.8998,147.3323
-42.8998,147.3323
-42.8998,147.3323
-42.8998,147.3323
end
start,Franklin
-42.9002,147.3322
-42.9013,147.3344
-42.9012,147.3333
-42.9002,147.3322
end
start,Franklin
-42.9030,147.3379
-42.9088,147.3500
-42.9055,147.3398
-42.9039,147.3372
-42.9030,147.3379
end
start,Franklin
-42.9120,147.3566
-42.9139,147.3606
-42.9138,147.3577
-42.9120,147.3566
end
start,Franklin
-42.9141,147.3609
-42.9141,147.3609
-42.9141,147.3609
-42.9141,147.3609
end
start,Franklin
-42.9141,147.3609
-42.9164,147.3601
-42.9155,147.3599
-42.9141,147.3609
end
start,Franklin
-42.9535,147.3463
-42.9667,147.3413
-42.9618,147.3407
-42.9535,147.3463
end
start,Franklin
-42.9670,147.3413
-42.9693,147.3404
-42.9677,147.3397
-42.9670,147.3413
end
start,Franklin
-42.9695,147.3403
-42.9741,147.3386
-42.9697,147.3387
-42.9695,147.3403
end
start,Franklin
-42.9743,147.3385
-42.9743,147.3385
-42.9743,147.3385
-42.9743,147.3385
end
